frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
254,1,683.285668755936 395.10196954936436 864.525897110777 551.8011380567438,754.7635109641335 497.9553333629261 798.7772272283381 516.2124689275569,0,0,0
255,1,683.2538026286938 395.682348654508 864.7873999499723 552.6062094365915,754.9205641313033 498.7534873268821 798.8732951771129 516.9848521839489,0,0,0
256,1,683.2219365014518 396.26272775965174 865.0489027891674 553.4112808164393,755.077617298473 499.55164129083806 798.9693631258878 517.7572354403409,0,0,0
257,1,683.1900703742097 396.8431068647954 865.3104056283627 554.2163521962871,755.2346704656428 500.34979525479406 799.0654310746627 518.529618696733,0,0,0
258,1,683.1582042469676 397.4234859699391 865.5719084675578 555.0214235761348,755.3917236328125 501.14794921875 799.1614990234375 519.302001953125,0.26501721143722534,LP05JEC,0.1725609919566621
259,1,682.7760488490482 397.60923261652215 865.5760000103579 555.5071497596697,755.3836059570312 501.1473388671875 799.2573852539062 519.265380859375,0.2640931010246277,LP05JEC,0.1725609919566621
260,1,682.9413130750199 398.53508658942815 866.1010776053931 556.515330467046,754.5638671875 501.1465087890625 801.127490234375 519.8225341796875,0,0,0
261,1,683.1065773009917 399.4609405623342 866.6261552004282 557.5235111744224,753.7441284179688 501.1456787109375 802.9975952148437 520.3796875,0,0,0
262,1,683.2718415269635 400.3867945352402 867.1512327954634 558.5316918817987,752.9243896484375 501.1448486328125 804.8677001953125 520.9368408203125,0,0,0
263,1,683.4371057529353 401.31264850814625 867.6763103904985 559.539872589175,752.1046508789062 501.1440185546875 806.7378051757812 521.493994140625,0,0,0
264,1,683.6023699789071 402.23850248105225 868.2013879855338 560.5480532965514,751.284912109375 501.1431884765625 808.60791015625 522.0511474609375,0.4601302444934845,KP05JED,0.2758625473953626
265,1,683.8540259671134 402.462442544185 868.453517114716 560.9179472335748,750.919677734375 501.1881103515625 808.657958984375 522.1402587890625,0.45417657494544983,KP05JED,0.6338602983648108
266,1,682.7942171283513 403.0050462264241 868.4726965752003 561.2188605005019,753.3880615234375 503.02435302734375 808.7386474609375 523.4605102539062,0.27884069085121155,AP05JEO,0.3918873638698953
267,1,682.5997229174332 403.61604154497496 868.9512746547352 562.0261309579554,754.3318939208984 504.0544662475586 810.0679931640625 524.4550247192383,0,0,0
268,1,682.4052287065149 404.2270368635258 869.4298527342701 562.833401415409,755.2757263183594 505.08457946777344 811.3973388671875 525.4495391845703,0,0,0
269,1,682.2107344955967 404.8380321820767 869.908430813805 563.6406718728624,756.2195587158203 506.1146926879883 812.7266845703125 526.4440536499023,0,0,0
270,1,682.0162402846786 405.4490275006276 870.38700889334 564.447942330316,757.1633911132812 507.1448059082031 814.0560302734375 527.4385681152344,0,0,0
271,1,681.8217460737604 406.06002281917847 870.8655869728749 565.2552127877694,758.1072235107422 508.17491912841797 815.3853759765625 528.4330825805664,0,0,0
272,1,681.6272518628423 406.67101813772933 871.3441650524098 566.0624832452229,759.0510559082031 509.2050323486328 816.7147216796875 529.4275970458984,0,0,0
273,1,681.432757651924 407.2820134562802 871.8227431319447 566.8697537026765,759.9948883056641 510.23514556884766 818.0440673828125 530.4221115112305,0,0,0
274,1,681.2382634410059 407.89300877483106 872.3013212114796 567.6770241601299,760.938720703125 511.2652587890625 819.3734130859375 531.4166259765625,0.29461291432380676,AP05JED,0.5234031502621644
275,1,681.9967809037905 408.60164312981556 872.8520770734004 568.5305159269487,755.5879516601562 510.7178649902344 816.8504638671875 531.8129577636719,0,0,0
276,1,682.7552983665752 409.31027748480005 873.4028329353213 569.3840076937676,750.2371826171875 510.17047119140625 814.3275146484375 532.2092895507812,0.31431421637535095,JP05JEQ,0.19773437127274823
277,1,683.0696460062643 409.97487295644737 873.4626100612938 569.9675185000026,750.073486328125 510.16522216796875 814.10498046875 532.1889038085938,0.31077295541763306,JP05JEO,0.19842877352468802
278,1,682.769121541809 410.26047184399016 873.631543194347 570.7102311069385,754.0115966796875 513.3680826822916 812.8170166015625 534.4473470052084,0,0,0
279,1,682.4685970773536 410.546070731533 873.8004763274002 571.4529437138743,757.94970703125 516.5709431966146 811.529052734375 536.7057902018229,0,0,0
280,1,682.1680726128983 410.8316696190758 873.9694094604534 572.1956563208103,761.8878173828125 519.7738037109375 810.2410888671875 538.9642333984375,0.2584810256958008,AP05JEQ,0.17954098510358846
281,1,681.8295139752431 411.2869898405586 874.3616378156595 573.3615881520413,760.5028381347656 519.976318359375 810.1013488769531 539.2960205078125,0,0,0
282,1,681.490955337588 411.7423100620413 874.7538661708654 574.5275199832724,759.1178588867188 520.1788330078125 809.9616088867188 539.6278076171875,0,0,0
283,1,681.1523966999329 412.19763028352406 875.1460945260715 575.6934518145035,757.7328796386719 520.38134765625 809.8218688964844 539.9595947265625,0,0,0
284,1,680.8138380622777 412.65295050500686 875.5383228812775 576.8593836457346,756.347900390625 520.5838623046875 809.68212890625 540.2913818359375,0.2507757544517517,KP05JEO,0.14928666672182817
285,1,680.2481815041898 412.8128238389703 876.055057572902 577.80344260724,753.402587890625 520.175048828125 811.6982421875 538.7633056640625,0.4737965166568756,JP05JED,0.13460295438241565
286,1,679.4343484139932 413.39524429551926 876.4309639298823 578.9651757859567,751.5250244140625 515.865234375 821.6236572265625 539.30615234375,0.6732219457626343,AP05JEO,0.33203760478510225
287,1,680.247259936503 413.8015850554144 877.8216407946734 579.9845080706785,756.19970703125 515.04541015625 821.7685546875 540.89404296875,0.4062964618206024,XP05JED,0.24525801575353928
288,1,680.4705079347559 414.67345331612904 878.3014472278036 581.0717578319196,758.2502136230469 515.6168518066406 821.5599060058594 541.5276794433594,0,0,0
289,1,680.6937559330088 415.54532157684366 878.7812536609338 582.1590075931608,760.3007202148438 516.1882934570312 821.3512573242188 542.1613159179688,0,0,0
290,1,680.9170039312617 416.4171898375583 879.261060094064 583.2462573544019,762.3512268066406 516.7597351074219 821.1426086425781 542.7949523925781,0,0,0
291,1,681.1402519295145 417.2890580982729 879.7408665271942 584.333507115643,764.4017333984375 517.3311767578125 820.9339599609375 543.4285888671875,0.45344629883766174,AP05JEO,0.28786846457615006
292,1,680.9882741363795 418.3217888084191 879.9254520029572 585.8583604059813,764.3401489257812 519.87841796875 820.8130493164062 544.529541015625,0,0,0
293,1,680.8362963432443 419.35451951856527 880.1100374787201 587.3832136963196,764.278564453125 522.4256591796875 820.692138671875 545.6304931640625,0.2791987657546997,IF05JEQ,0.36028204076291015
294,1,680.9814565419246 420.2140945831287 880.2357684598338 588.7237655700461,755.0712280273438 523.1893310546875 815.1818237304688 544.8272705078125,0.29843443632125854,AP05JEQ,0.3184777230306559
295,1,681.1008306317206 420.43331041489506 880.3618386045114 589.3203480974164,755.9818115234375 523.2843017578125 818.4932861328125 545.0206298828125,0.3112773299217224,AP05JED,0.2430712267605612
296,1,681.2453708520924 421.23246333100354 881.2419427640965 590.4525477524046,756.7701822916666 526.7663981119791 817.395263671875 548.2209065755209,0,0,0
297,1,681.3899110724643 422.031616247112 882.1220469236815 591.5847474073928,757.5585530598959 530.2484944661459 816.2972412109375 551.4211832682291,0,0,0
298,1,681.5344512928361 422.8307691632205 883.0021510832667 592.716947062381,758.346923828125 533.7305908203125 815.19921875 554.6214599609375,0.32084837555885315,AP05JEO,0.4129211092129879
299,1,681.1633787268811 423.42412389584285 884.1720870906445 593.7705369361151,760.2055358886719 533.2701721191406 816.7239074707031 554.7651977539062,0,0,0
300,1,680.792306160926 424.01747862846514 885.3420230980223 594.8241268098494,762.0641479492188 532.8097534179688 818.2485961914062 554.908935546875,0,0,0
301,1,680.4212335949711 424.61083336108743 886.5119591054 595.8777166835837,763.9227600097656 532.3493347167969 819.7732849121094 555.0526733398438,0,0,0
302,1,680.0501610290161 425.2041880937098 887.6818951127779 596.9313065573178,765.7813720703125 531.888916015625 821.2979736328125 555.1964111328125,0.410207062959671,AP05JEO,0.2573444879896088
303,1,680.1901842683424 426.1673428327025 887.9200501727132 597.9094709378033,760.286376953125 533.1098022460938 821.053955078125 555.5336303710938,0.5731979012489319,AP05JED,0.344779356864906
304,1,678.5576846759135 426.884035796163 887.3218744524162 598.5040916353263,752.81884765625 531.9800415039062 818.92529296875 555.2984008789062,0.5255601406097412,JP05JED,0.37959462238430736
305,1,679.2392925715541 427.35104999264786 887.1939604814878 599.4913471086963,748.3900756835938 530.5701293945312 823.2826538085938 559.4147338867188,0.2861097455024719,XP05JED,0.32274028995340254
306,1,679.3032596745506 427.67950275022275 886.971211811241 600.0132960574309,751.3464558919271 533.5981038411459 823.8367716471354 559.7640380859375,0,0,0
307,1,679.3672267775472 428.0079555077977 886.7484631409941 600.5352450061655,754.3028361002604 536.6260782877604 824.3908894856771 560.1133422851562,0,0,0
308,1,679.4311938805438 428.3364082653726 886.5257144707473 601.0571939549001,757.2592163085938 539.654052734375 824.9450073242188 560.462646484375,0.3543485999107361,AP05JED,0.2113033112949211
309,1,680.001687876546 428.78926718383445 888.8332721117521 601.6348344730193,750.294921875 538.2377319335938 818.6041259765625 560.0099487304688,0.2641254961490631,JP05JEO,0.5574927788589172
310,1,680.2647710103481 429.89923904758433 889.1469734986938 602.8178359852287,750.210302734375 538.9239624023437 821.79560546875 561.5068725585937,0,0,0
311,1,680.5278541441503 431.0092109113342 889.4606748856355 604.0008374974382,750.12568359375 539.6101928710938 824.9870849609375 563.0037963867187,0,0,0
312,1,680.7909372779524 432.1191827750841 889.7743762725772 605.1838390096477,750.041064453125 540.2964233398437 828.178564453125 564.5007202148438,0,0,0
313,1,681.0540204117545 433.22915463883396 890.088077659519 606.3668405218572,749.9564453125 540.9826538085938 831.3700439453125 565.9976440429688,0,0,0
314,1,681.3171035455566 434.33912650258384 890.4017790464607 607.5498420340666,749.871826171875 541.6688842773438 834.5615234375 567.4945678710938,0.35241106152534485,IP05JEO,0.1498350804265607
315,1,682.8729666399848 435.42526915939396 890.6994166684227 608.7716481540845,755.2283325195312 540.2351684570312 833.8032836914062 569.5991821289062,0.4317888915538788,AP05JEQ,0.18192712359222832
316,1,682.7861542946015 436.0981149340761 890.7628601050552 609.6637971461827,757.4049682617188 546.6575317382812 826.0648803710938 571.4328002929688,0.3944348394870758,JP05JEO,0.23353560159645725
317,1,680.7504627109627 436.43207617957734 890.0835681728529 610.1871607448652,752.662353515625 546.5831298828125 828.2208251953125 572.9530029296875,0.34409743547439575,IP05JED,0.3308912117365648
318,1,681.1133000419992 437.2930900944635 890.5690365804609 611.0998026816361,751.4457397460938 542.5819091796875 832.8276977539062 574.8763427734375,0.2526378631591797,JP05JED,0.19596083821038793
319,1,681.245260638009 437.6154887631556 890.780558751734 611.501079177235,751.4357299804688 542.58203125 832.7842407226562 574.879638671875,0.2525966465473175,JP05JED,0.19596083821038793
320,1,683.1188642314959 438.33156171552287 891.6588523316057 612.4104767134113,754.6532897949219 545.6231994628906 829.3774719238281 573.3514709472656,0,0,0
321,1,684.9924678249828 439.0476346678902 892.5371459114773 613.3198742495877,757.870849609375 548.6643676757812 825.970703125 571.8233032226562,0.48456472158432007,AP05JEO,0.05974712507159184
322,1,685.4495487432883 440.25303089480906 892.0396315548372 614.6944536804282,753.2340698242188 546.673583984375 825.7288208007812 573.205810546875,0.33911406993865967,AP05JEO,0.39238010226313386
323,1,683.7686146157323 441.0292988524514 891.1108649121711 616.0921835366022,768.7701416015625 549.711181640625 829.1651611328125 575.6416015625,0.3214772343635559,IP05JED,0.10193132609706954
324,1,684.0923611684633 441.68179755967026 891.4862610457964 617.3818837578712,768.6540934244791 551.5870157877604 829.675523546007 576.9567938910591,0,0,0
325,1,684.4161077211944 442.3342962668891 891.8616571794216 618.67158397914,768.5380452473959 553.4628499348959 830.1858859592014 578.271986219618,0,0,0
326,1,684.7398542739254 442.986794974108 892.2370533130469 619.961284200409,768.4219970703125 555.3386840820312 830.6962483723959 579.5871785481771,0,0,0
327,1,685.0636008266564 443.6392936813269 892.6124494466721 621.2509844216778,768.3059488932291 557.2145182291666 831.2066107855903 580.9023708767361,0,0,0
328,1,685.3873473793875 444.29179238854573 892.9878455802973 622.5406846429468,768.1899007161459 559.0903523763021 831.7169731987847 582.2175632052952,0,0,0
329,1,685.7110939321185 444.9442910957646 893.3632417139225 623.8303848642156,768.0738525390625 560.9661865234375 832.2273356119791 583.5327555338541,0,0,0
330,1,686.0348404848495 445.5967898029835 893.7386378475478 625.1200850854846,767.9578043619791 562.8420206705729 832.7376980251736 584.8479478624132,0,0,0
331,1,686.3585870375806 446.24928851020235 894.1140339811731 626.4097853067534,767.8417561848959 564.7178548177084 833.248060438368 586.1631401909722,0,0,0
332,1,686.6823335903116 446.9017872174212 894.4894301147983 627.6994855280224,767.7257080078125 566.5936889648438 833.7584228515625 587.4783325195312,0.27414000034332275,AP35JED,0.16370219789664006
333,1,687.0665195260347 447.69904616851136 894.9490841066081 628.4950599814482,767.073828125 566.0941162109375 833.0837158203125 587.6059326171875,0,0,0
334,1,687.4507054617577 448.49630511960146 895.4087380984178 629.290634434874,766.4219482421875 565.5945434570312 832.4090087890625 587.7335327148437,0,0,0
335,1,687.8348913974808 449.2935640706916 895.8683920902275 630.0862088882999,765.770068359375 565.094970703125 831.7343017578125 587.8611328125,0,0,0
336,1,688.2190773332038 450.0908230217817 896.3280460820372 630.8817833417257,765.1181884765625 564.5953979492188 831.0595947265625 587.9887329101563,0,0,0
337,1,688.6032632689269 450.8880819728719 896.787700073847 631.6773577951516,764.46630859375 564.0958251953125 830.3848876953125 588.1163330078125,0.3161163032054901,AF15JSE,0.040237552168243235
338,1,689.4355954081864 451.4418554642914 897.4338713642744 632.1288266003869,766.1377563476562 567.389404296875 834.2001953125 590.5953369140625,0,0,0
339,1,690.267927547446 451.99562895571097 898.080042654702 632.5802954056223,767.8092041015625 570.6829833984375 838.0155029296875 593.0743408203125,0.29283300042152405,AP05JEQ,0.33092762306674467
340,1,690.2398673940622 453.16182993121197 898.6002246063581 633.8464902454009,767.560292561849 570.8683471679688 837.0811258951823 594.5450236002604,0,0,0
341,1,690.2118072406784 454.32803090671297 899.1204065580141 635.1126850851795,767.3113810221354 571.0537109375 836.1467488606771 596.0157063802084,0,0,0
342,1,690.1837470872946 455.49423188221397 899.6405885096702 636.378879924958,767.0624694824219 571.2390747070312 835.2123718261719 597.4863891601562,0,0,0
343,1,690.1556869339108 456.6604328577149 900.1607704613264 637.6450747647366,766.8135579427084 571.4244384765625 834.2779947916666 598.9570719401041,0,0,0
344,1,690.127626780527 457.8266338332159 900.6809524129824 638.9112696045152,766.5646464029948 571.6098022460938 833.3436177571615 600.4277547200521,0,0,0
345,1,690.0995666271432 458.9928348087169 901.2011343646385 640.1774644442937,766.3157348632812 571.795166015625 832.4092407226562 601.8984375,0.4370202124118805,XP05JEO,0.2688179284324079
346,1,691.5031838889836 459.8405811299216 902.1460564195363 641.2845279611475,766.5778198242188 576.1764831542969 834.5248413085938 602.5962829589844,0,0,0
347,1,692.9068011508239 460.6883274511262 903.090978474434 642.3915914780014,766.8399047851562 580.5578002929688 836.6404418945312 603.2941284179688,0.3116723299026489,IP05JZN,0.05699034680023108
348,1,692.9326126408512 461.7644720843669 903.067519425896 643.4676110598604,770.3835042317709 580.4647216796875 837.16650390625 603.8319905598959,0,0,0
349,1,692.9584241308785 462.84061671760765 903.044060377358 644.5436306417193,773.9271036783854 580.3716430664062 837.6925659179688 604.3698527018229,0,0,0
350,1,692.9842356209058 463.91676135084833 903.02060132882 645.6196502235783,777.470703125 580.278564453125 838.2186279296875 604.90771484375,0.4409244954586029,AP05JED,0.420352912152518
351,1,692.2511737770992 465.3202887607239 903.080974243077 646.8688595737016,769.0597534179688 578.5614013671875 841.9807739257812 605.3101806640625,0.429948091506958,XP05JEO,0.1526229965363736
352,1,690.3419707068508 466.15989542928276 902.5620026997738 647.9419527725116,762.8253173828125 581.1064453125 826.4261474609375 606.48193359375,0.41516944766044617,AP05JEC,0.10066674085047596
353,1,692.3428798650427 467.6456279411429 904.2019911932939 649.4574818732386,770.06982421875 584.5208740234375 842.37646484375 609.2027587890625,0.35127314925193787,XP05JEO,0.2532677790464536
354,1,693.0013176942302 468.4519764410872 905.3630346498561 650.6087712689791,771.4327545166016 585.0638580322266 843.8738250732422 609.3251190185547,0,0,0
355,1,693.6597555234177 469.2583249410315 906.5240781064183 651.7600606647197,772.7956848144531 585.6068420410156 845.3711853027344 609.4474792480469,0,0,0
356,1,694.3181933526052 470.0646734409758 907.6851215629805 652.9113500604602,774.1586151123047 586.1498260498047 846.8685455322266 609.5698394775391,0,0,0
357,1,694.9766311817928 470.8710219409201 908.8461650195427 654.0626394562007,775.5215454101562 586.6928100585938 848.3659057617188 609.6921997070312,0.2881333529949188,XP05JED,0.5313069436823578
358,1,695.2983108730172 471.6972172788504 910.071560693261 655.536506179318,765.9717407226562 586.121826171875 846.1004028320312 613.268310546875,0.2698156237602234,AP05JED,0.5650915413204616
359,1,695.6054437445206 472.9963713639536 910.6428215736279 657.1000228763382,763.8985595703125 589.6007080078125 839.9425048828125 620.8424072265625,0.3094424903392792,AP05JEQ,0.3203085985945645
360,1,696.1914212938474 473.67790261885375 910.9367539564315 658.4935763233411,765.8707275390625 591.8315226236979 839.876708984375 620.4347534179688,0,0,0
361,1,696.7773988431741 474.35943387375386 911.2306863392353 659.8871297703439,767.8428955078125 594.0623372395834 839.8109130859375 620.027099609375,0,0,0
362,1,697.3633763925009 475.040965128654 911.5246187220389 661.2806832173468,769.8150634765625 596.2931518554688 839.7451171875 619.6194458007812,0.418054461479187,AP05JED,0.12295418406972339
363,1,697.8891970681937 475.1928439437835 913.0077299599709 661.7871888813396,775.9388427734375 594.8912353515625 845.6180419921875 622.2493896484375,0.3598915934562683,AP05JEQ,0.37615151853303525
364,1,697.3881208393341 475.6935642766525 913.5059813954804 662.8933959940468,779.0924072265625 596.8036499023438 847.396240234375 621.3159790039062,0.45726266503334045,AP05JEO,0.2283865355107401
365,1,696.6755366904771 476.63895635253897 914.4018362908777 664.2564530198068,776.0149536132812 596.0105590820312 833.7695922851562 618.0202026367188,0.3017343580722809,AP05JEL,0.1609602975912396
366,1,695.8453514193507 477.68123355877714 915.8623969060568 665.4218109680087,775.756591796875 594.1549072265625 850.728271484375 622.4197998046875,0.3918030858039856,AP05JEO,0.4785444591456711
367,1,695.107470630755 478.0639999157084 916.8804969537891 665.8484349960893,775.7335205078125 594.101806640625 850.8228759765625 622.4495849609375,0.3958335220813751,AP05JEO,0.4785444591456711
368,1,695.3892656349992 479.2808734508502 917.5145828215356 667.1822222785682,777.9683430989584 597.2318318684896 851.4735514322916 623.2552286783854,0,0,0
369,1,695.6710606392435 480.49774698599197 918.1486686892821 668.5160095610471,780.2031656901041 600.3618570963541 852.1242268880209 624.0608723958334,0,0,0
370,1,695.9528556434877 481.7146205211338 918.7827545570285 669.8497968435261,782.43798828125 603.4918823242188 852.77490234375 624.8665161132812,0.46992117166519165,AP05JED,0.6900898098236071
371,1,696.5517586858086 483.0331983344365 919.9123946531681 671.7675614149196,778.557373046875 604.3684387207031 845.058837890625 627.3434753417969,0,0,0
372,1,697.1506617281296 484.3517761477393 921.0420347493076 673.6853259863129,774.6767578125 605.2449951171875 837.3427734375 629.8204345703125,0.29288434982299805,AP05JED,0.6070040388225244
373,1,697.2798776962309 484.7505258980494 921.8610092241784 674.4478763342157,774.6665649414062 605.2393798828125 837.3755493164062 629.830322265625,0.29319074749946594,AP05JED,0.6070040388225244
374,1,696.9330552749431 485.7444933225829 922.134468276205 675.8302897338199,782.135009765625 608.383056640625 853.906982421875 630.946533203125,0.5527386665344238,AP05JED,0.182215475690033
375,1,696.7472308563113 487.12225421033713 922.9376236020416 677.2704749477011,773.183349609375 611.2198486328125 845.10205078125 635.0823974609375,0.41024184226989746,AP05JED,0.49304020161216416
376,1,696.9623822438721 488.8923127859725 924.1788417759294 678.9615677013397,769.09716796875 610.947265625 850.252685546875 636.327392578125,0.2537841200828552,AP05JEO,0.18190270287934918
377,1,696.3137786605679 490.2194884849493 923.6612728836843 680.5276574065645,782.1935424804688 612.0219116210938 857.5752563476562 637.6072387695312,0.406712144613266,XP05JED,0.18361299009044232
378,1,695.9799920692276 490.9024275572109 924.1940572169663 681.3879872468682,780.2460530598959 612.3329874674479 850.9162190755209 637.4664916992188,0,0,0
379,1,695.6462054778874 491.58536662947256 924.7268415502481 682.2483170871719,778.2985636393229 612.6440633138021 844.2571818033854 637.3257446289062,0,0,0
380,1,695.3124188865471 492.26830570173416 925.25962588353 683.1086469274757,776.35107421875 612.9551391601562 837.59814453125 637.1849975585938,0.304749459028244,AP05JEL,0.1687576247449292
381,1,695.4198893282614 493.8629742783254 924.7515641293462 684.669325191436,774.9776000976562 615.6846618652344 842.7553100585938 639.5826721191406,0,0,0
382,1,695.5273597699759 495.4576428549166 924.2435023751623 686.2300034553963,773.6041259765625 618.4141845703125 847.9124755859375 641.9803466796875,0.29856041073799133,AP05JEU,0.4067656080538392
383,1,696.4637836711726 497.6558809113326 925.0349659103268 688.6569391889841,792.804443359375 621.2276611328125 859.35986328125 643.703857421875,0.3352356255054474,IP05JFD,0.18382636168556407
384,1,696.6536421419877 498.65755003900074 925.6406558655427 689.9397441980929,790.7395324707031 621.7172241210938 858.4349060058594 644.8297424316406,0,0,0
385,1,696.8435006128029 499.65921916666895 926.2463458207585 691.2225492072016,788.6746215820312 622.206787109375 857.5099487304688 645.9556274414062,0,0,0
386,1,697.033359083618 500.66088829433716 926.8520357759744 692.5053542163105,786.6097106933594 622.6963500976562 856.5849914550781 647.0815124511719,0,0,0
387,1,697.2232175544332 501.6625574220053 927.4577257311903 693.7881592254192,784.5447998046875 623.1859130859375 855.6600341796875 648.2073974609375,0.3645012676715851,AP05JEO,0.4320860741423234
